sample	condition	tissue	timepoint
157	treated	cambium	day0
157	treated	cambium	day0
158	treated	cambium	day0
158	treated	cambium	day0
159	treated	cambium	day0
159	treated	cambium	day0
160	treated	cambium	day0
160	treated	cambium	day0
221	treated	cambium	day0
221	treated	cambium	day0
222	treated	cambium	day0
222	treated	cambium	day0
223	treated	cambium	day0
223	treated	cambium	day0
224	treated	cambium	day0
224	treated	cambium	day0
253	treated	cambium	day0
253	treated	cambium	day0
254	treated	cambium	day0
254	treated	cambium	day0
255	treated	cambium	day0
255	treated	cambium	day0
256	treated	cambium	day0
256	treated	cambium	day0
277	treated	cambium	day0
277	treated	cambium	day0
278	treated	cambium	day0
278	treated	cambium	day0
279	treated	cambium	day0
279	treated	cambium	day0
280	treated	cambium	day0
280	treated	cambium	day0
325	treated	cambium	day0
325	treated	cambium	day0
326	treated	cambium	day0
326	treated	cambium	day0
327	treated	cambium	day0
327	treated	cambium	day0
328	treated	cambium	day0
328	treated	cambium	day0
330	treated	cambium	day0
330	treated	cambium	day0
331	treated	cambium	day0
331	treated	cambium	day0
332	treated	cambium	day0
332	treated	cambium	day0
37	treated	cambium	day0
37	treated	cambium	day0
38	treated	cambium	day0
38	treated	cambium	day0
39	treated	cambium	day0
39	treated	cambium	day0
405	treated	cambium	day0
405	treated	cambium	day0
406	treated	cambium	day0
406	treated	cambium	day0
407	treated	cambium	day0
407	treated	cambium	day0
408	treated	cambium	day0
408	treated	cambium	day0
40	treated	cambium	day0
40	treated	cambium	day0
417	treated	cambium	day0
417	treated	cambium	day0
418	treated	cambium	day0
418	treated	cambium	day0
419	treated	cambium	day0
419	treated	cambium	day0
420	treated	cambium	day0
420	treated	cambium	day0
445	treated	cambium	day0
445	treated	cambium	day0
446	treated	cambium	day0
446	treated	cambium	day0
447	treated	cambium	day0
447	treated	cambium	day0
448	treated	cambium	day0
448	treated	cambium	day0
489	treated	cambium	day0
489	treated	cambium	day0
490	treated	cambium	day0
490	treated	cambium	day0
491	treated	cambium	day0
491	treated	cambium	day0
492	treated	cambium	day0
492	treated	cambium	day0
509	treated	cambium	day0
509	treated	cambium	day0
510	treated	cambium	day0
510	treated	cambium	day0
511	treated	cambium	day0
511	treated	cambium	day0
512	treated	cambium	day0
512	treated	cambium	day0
M10	treated	cambium	day0
M10	treated	cambium	day0
M11	treated	cambium	day0
M11	treated	cambium	day0
M12	treated	cambium	day0
M12	treated	cambium	day0
M13	treated	cambium	day0
M13	treated	cambium	day0
M14	treated	cambium	day0
M14	treated	cambium	day0
M15	treated	cambium	day0
M15	treated	cambium	day0
M16	treated	cambium	day0
M16	treated	cambium	day0
M17	treated	cambium	day0
M17	treated	cambium	day0
M18	treated	cambium	day0
M18	treated	cambium	day0
M19	treated	cambium	day0
M19	treated	cambium	day0
M1	treated	cambium	day0
M1	treated	cambium	day0
M20	treated	cambium	day0
M20	treated	cambium	day0
M21	treated	cambium	day0
M21	treated	cambium	day0
M22	treated	cambium	day0
M22	treated	cambium	day0
M23	treated	cambium	day0
M23	treated	cambium	day0
M24	treated	cambium	day0
M24	treated	cambium	day0
M25	treated	cambium	day0
M25	treated	cambium	day0
M26	treated	cambium	day0
M26	treated	cambium	day0
M27	treated	cambium	day0
M27	treated	cambium	day0
M28	treated	cambium	day0
M28	treated	cambium	day0
M29	treated	cambium	day0
M29	treated	cambium	day0
M2	treated	cambium	day0
M2	treated	cambium	day0
M30	treated	cambium	day0
M30	treated	cambium	day0
M31	treated	cambium	day0
M31	treated	cambium	day0
M32	treated	cambium	day0
M32	treated	cambium	day0
M33	treated	cambium	day0
M33	treated	cambium	day0
M34	treated	cambium	day0
M34	treated	cambium	day0
M35	treated	cambium	day0
M35	treated	cambium	day0
M36	treated	cambium	day0
M36	treated	cambium	day0
M37	treated	cambium	day0
M37	treated	cambium	day0
M38	treated	cambium	day0
M38	treated	cambium	day0
M39	treated	cambium	day0
M39	treated	cambium	day0
M3	treated	cambium	day0
M3	treated	cambium	day0
M40	treated	cambium	day0
M40	treated	cambium	day0
M41	treated	cambium	day0
M41	treated	cambium	day0
M42	treated	cambium	day0
M42	treated	cambium	day0
M43	treated	cambium	day0
M43	treated	cambium	day0
M44	treated	cambium	day0
M44	treated	cambium	day0
M45	treated	cambium	day0
M45	treated	cambium	day0
M47	treated	cambium	day0
M47	treated	cambium	day0
M48	treated	cambium	day0
M48	treated	cambium	day0
M49	treated	cambium	day0
M49	treated	cambium	day0
M50	treated	cambium	day0
M50	treated	cambium	day0
M51	treated	cambium	day0
M51	treated	cambium	day0
M52	treated	cambium	day0
M52	treated	cambium	day0
M53	treated	cambium	day0
M53	treated	cambium	day0
M54	treated	cambium	day0
M54	treated	cambium	day0
M55	treated	cambium	day0
M55	treated	cambium	day0
M56	treated	cambium	day0
M56	treated	cambium	day0
M57	treated	cambium	day0
M57	treated	cambium	day0
M58	treated	cambium	day0
M58	treated	cambium	day0
M59	treated	cambium	day0
M59	treated	cambium	day0
M5	treated	cambium	day0
M5	treated	cambium	day0
M60	treated	cambium	day0
M60	treated	cambium	day0
M61	treated	cambium	day0
M61	treated	cambium	day0
M62	treated	cambium	day0
M62	treated	cambium	day0
M64	treated	cambium	day0
M64	treated	cambium	day0
M66	treated	cambium	day0
M66	treated	cambium	day0
M67	treated	cambium	day0
M67	treated	cambium	day0
M68	treated	cambium	day0
M68	treated	cambium	day0
M69	treated	cambium	day0
M69	treated	cambium	day0
M6	treated	cambium	day0
